player,move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,outcome
X,top right,bot mid,mid left,bot right,mid right,,,,,O
X,top left,top right,mid right,bot left,mid mid,,,,,O
X,top left,top right,mid right,bot left,bot right,mid mid,,,,O
X,top mid,top right,mid right,mid mid,mid left,bot left,,,,O
X,bot left,top left,bot right,top right,mid mid,mid left,top mid,mid right,bot mid,X
X,top left,top right,bot mid,mid right,bot right,mid mid,mid left,top mid,bot left,X
X,bot left,top right,mid left,mid right,bot right,bot mid,top mid,top left,mid mid,-
X,top right,top mid,mid right,top left,mid left,bot mid,mid mid,,,X
X,bot right,mid right,mid left,top right,bot mid,top mid,bot left,,,X
X,bot right,bot mid,mid left,top mid,mid right,top right,top left,bot left,mid mid,X
X,bot mid,mid left,bot right,top mid,top right,mid mid,bot left,,,X
X,mid right,bot right,mid mid,mid left,bot mid,top mid,top left,bot left,top right,-
X,bot mid,top left,mid left,mid right,top right,top mid,bot left,mid mid,bot right,X
X,top right,bot right,bot left,mid left,top left,top mid,mid mid,,,X
X,top mid,bot left,top left,top right,mid mid,bot right,bot mid,,,X
X,bot right,top mid,mid right,bot left,top left,bot mid,mid mid,,,X
X,bot mid,mid mid,bot right,top left,mid left,top right,mid right,top mid,,O
X,top right,mid left,top mid,top left,bot mid,bot right,mid mid,,,X
X,bot mid,mid mid,bot right,top right,bot left,,,,,X
X,bot mid,bot left,top left,mid left,mid right,bot right,top mid,mid mid,top right,X
X,bot right,top mid,bot mid,top right,mid right,mid left,mid mid,top left,,O
X,bot mid,top mid,mid left,bot left,top right,top left,mid right,bot right,mid mid,X
X,top mid,top left,mid left,bot right,bot left,mid mid,,,,O
X,mid left,top right,top left,bot mid,mid right,mid mid,top mid,bot left,,O
X,bot right,bot left,top mid,mid right,top right,top left,mid mid,mid left,,O
X,bot mid,top right,mid right,mid left,mid mid,bot right,top left,top mid,bot left,-
X,top right,top left,bot mid,mid mid,mid left,top mid,bot right,bot left,mid right,X
X,mid left,mid mid,top left,top mid,mid right,bot mid,,,,O
X,bot right,mid left,bot left,top left,mid mid,top right,top mid,bot mid,mid right,-
X,mid left,bot right,mid mid,top left,bot left,bot mid,mid right,,,X
X,top right,top left,bot left,mid left,bot mid,bot right,top mid,mid mid,,O
X,mid left,top left,mid right,top mid,bot left,bot mid,bot right,top right,,O
